Day,Date,PlantID,plantheightcm,OLlength(cm),OLwidth(cm),MRFLlength(cm),MRFLwidth(cm),numberofleaves,RGR_plantheightcm,RGR_OLlength(cm),RGR_OLwidth(cm),RGR_MRFLlength(cm),RGR_MRFLwidth(cm),RGR_numberofleaves
14,8-Feb,79,12.4,3.7,6.4,6.7,3.9,8,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,80,7.6,8.9,8.5,8.9,8.5,2,0,0,0,0,0,0
7,1-Feb,80,12.3,9.8,9.5,3.9,1.9,8,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,80,20.9,9.6,8.7,7,3.5,11,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,80,36.1,10,9.4,7.8,3.5,14,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,81,4.9,7.4,5.6,7.4,5.6,2,0,0,0,0,0,0
7,1-Feb,81,7.4,8.8,6.8,7,3.4,8,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,81,9.2,8.5,7.3,4.5,1.8,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,81,9.9,8.8,7.4,8.4,4.1,11,0.7,-0.3,-0.15,-2.35,-2.05,1.5
21,15-Feb,81,16.2,8.2,6.9,5,2.6,20,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,82,7.1,9.4,8.3,9.4,8.3,2,0,0,0,0,0,0
7,1-Feb,82,10.8,11.6,9.7,3.8,1.8,9,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,82,14.2,11.5,9.5,6.1,3.2,9,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,82,25.1,11.6,9.7,6.1,3.2,13,0.7,-0.3,-0.15,-2.35,-2.05,1.5
